PRICE,BEDS,BATH,PROPERTYSQFT,neighborhood,PRICE_PER_SQFT
319000,3,2.0,1224.0,89,260.62091503267976
24800000,6,8.0,2184.207862,284,11354.230717442586
1100000,9,4.0,3276.0,226,335.77533577533575
309000,6,2.0,2184.207862,113,141.4700520842645
650000,3,2.0,1522.0,137,427.0696452036794
799000,4,2.0,1975.0,244,404.55696202531647
259000,3,2.0,1089.0,145,237.83287419651057
1195000,4,4.0,2704.0,189,441.9378698224852
17500000,5,6.0,5499.0,308,3182.396799418076
189000,2,2.0,966.0,142,195.65217391304347
759000,3,2.0,1200.0,79,632.5
275000,4,1.0,2184.207862,165,125.90376803615771
499000,1,1.0,630.0,284,792.063492063492
1249000,3,2.3738608579684373,2184.207862,41,571.83202282604
69900,2,1.0,700.0,145,99.85714285714286
1150000,12,6.0,5508.0,152,208.78721859114015
1749900,5,4.0,3740.0,226,467.88770053475935
1399000,3,4.0,1993.0,82,701.9568489714
649000,3,2.0,1182.0,187,549.0693739424704
499000,5,2.0,1760.0,163,283.52272727272725
1050000,5,4.0,3132.0,145,335.2490421455939
5000000,10,9.0,6425.0,273,778.2101167315175
90000,1,1.0,660.0,65,136.36363636363637
650000,3,2.3738608579684373,1638.0,172,396.8253968253968
500000,4,3.0,1794.0,273,278.70680044593087
350000,2,1.0,490.0,65,714.2857142857143
1099000,4,2.0,2184.207862,243,503.157240260863
90000,1,1.0,450.0,1,200.0
839000,4,2.0,2184.207862,107,384.12095048122296
659000,8,3.0,2184.207862,153,301.7112114030107
659000,8,3.0,2184.207862,153,301.7112114030107
399999,3,1.0,2184.207862,113,183.1322956752547
250000,3,1.0,2184.207862,103,114.45797094196156
1740000,2,2.0,1132.0,273,1537.1024734982332
650000,4,2.0,2244.0,138,289.6613190730838
1165000,3,4.0,3500.0,244,332.85714285714283
729900,3,2.0,1150.0,189,634.695652173913
1880000,3,4.0,3150.0,278,596.8253968253969
449000,2,2.0,1549.0,82,289.864428663654
1175000,3,2.0,2250.0,250,522.2222222222222
2750000,3,2.0,2184.207862,285,1259.037680361577
995000,3,2.0,2184.207862,107,455.542724349007
2000000,3,2.0,2000.0,267,1000.0
15000000,8,6.0,2184.207862,299,6867.478256517694
2800000,4,6.0,8333.0,264,336.0134405376215
2600000,5,4.0,3024.0,255,859.7883597883598
3500000,6,6.0,6000.0,226,583.3333333333334
550000,1,1.0,2184.207862,273,251.80753607231543
769000,3,4.0,2184.207862,109,352.07271861747375
675000,3,2.0,2400.0,270,281.25
879000,4,2.0,1238.0,189,710.016155088853
918888,3,2.0,2184.207862,225,420.6962240116687
2400000,4,2.0,1892.0,281,1268.4989429175475
1730000,6,2.3738608579684373,3024.0,219,572.0899470899471
425000,5,2.0,2184.207862,230,194.57855060133465
2500000,5,2.3738608579684373,1450.0,187,1724.1379310344828
998000,4,4.0,2000.0,246,499.0
1195000,4,4.0,2688.0,115,444.5684523809524
1649000,3,2.0,2052.0,276,803.6062378167642
955000,4,4.0,2100.0,244,454.76190476190476
949000,6,3.0,2184.207862,153,434.4824576956861
880000,3,2.0,1743.0,187,504.8766494549627
1250000,8,2.3738608579684373,2184.207862,257,572.2898547098077
899999,3,2.0,1784.0,114,504.48374439461884
198000,1,1.0,750.0,71,264.0
549000,5,3.0,496.0,125,1106.8548387096773
1088888,3,4.0,1320.0,254,824.9151515151515
888000,4,2.0,2686.0,145,330.6031273268801
65000,3,1.0,230.0,0,282.60869565217394
1449999,3,2.0,2184.207862,221,663.8557736314932
14900000,5,5.0,2184.207862,273,6821.695068140909
